1,duanzao,d_weapon,【卷轴】残破的重剑,上面记载了残破的重剑的制造方法,peifang/duanzao/p_canpodezhongjian,1,0
2,duanzao,m_weapon,【卷轴】锈铁剑,上面记载了锈铁剑的制造方法,peifang/duanzao/p_xiutiejian,5,15
3,duanzao,s_weapon,【卷轴】破铜剑,上面记载了破铜剑的制造方法,peifang/duanzao/p_potongjian,5,15
4,duanzao,d_weapon,【卷轴】石巨剑,上面记载了石巨剑的制造方法,peifang/duanzao/p_shijujian,5,15
5,duanzao,m_weapon,【卷轴】青铜剑,上面记载了青铜剑的制造方法,peifang/duanzao/p_qingtongjian,9,30
6,duanzao,s_weapon,【卷轴】羊角匕首,上面记载了羊角匕首的制造方法,peifang/duanzao/p_yangjiaobishou,9,30
7,duanzao,m_weapon,【卷轴】火精剑,上面记载了火精剑的制造方法,peifang/duanzao/p_huojingjian,13,45
8,duanzao,s_weapon,【卷轴】含光匕首,上面记载了含光匕首的制造方法,peifang/duanzao/p_hanguangbishou,13,45
9,duanzao,d_weapon,【卷轴】镇山剑,上面记载了镇山剑的制造方法,peifang/duanzao/p_zhenshanjian,13,45
10,duanzao,m_weapon,【卷轴】断水剑,上面记载了断水剑的制造方法,peifang/duanzao/p_duanshuijian,17,60
11,duanzao,s_weapon,【卷轴】转魂匕首,上面记载了转魂匕首的制造方法,peifang/duanzao/p_zhuanhunbishou,17,60
12,duanzao,d_weapon,【卷轴】四尺千金剑,上面记载了四尺千金剑的制造方法,peifang/duanzao/p_sichiqianjinjian,17,60
13,duanzao,m_weapon,【卷轴】碧空长剑,上面记载了碧空长剑的制造方法,peifang/duanzao/p_bikuangchangjian,17,60
14,duanzao,m_weapon,【卷轴】青云剑,上面记载了青云剑的制造方法,peifang/duanzao/p_qingyunjian,21,75
15,duanzao,s_weapon,【卷轴】赤血匕首,上面记载了赤血匕首的制造方法,peifang/duanzao/p_chixiebishou,21,75
16,duanzao,d_weapon,【卷轴】雁翅刀,上面记载了雁翅刀的制造方法,peifang/duanzao/p_yanchidao,21,75
17,duanzao,m_weapon,【卷轴】白鹿刀,上面记载了白鹿刀的制造方法,peifang/duanzao/p_bailudao,25,90
18,duanzao,s_weapon,【卷轴】玉把刀,上面记载了玉把刀的制造方法,peifang/duanzao/p_yubadao,25,90
19,duanzao,d_weapon,【卷轴】安陵古剑,上面记载了安陵古剑的制造方法,peifang/duanzao/p_anlinggujian,25,90
20,duanzao,m_weapon,【卷轴】龙渊宝剑,上面记载了龙渊宝剑的制造方法,peifang/duanzao/p_longyuanbaojian,29,105
21,duanzao,s_weapon,【卷轴】毒牙匕首,上面记载了毒牙匕首的制造方法,peifang/duanzao/p_duyabishou,29,105
22,duanzao,d_weapon,【卷轴】突云长剑,上面记载了突云长剑的制造方法,peifang/duanzao/p_tuyunchangjian,29,105
23,duanzao,m_weapon,【卷轴】百胜刀,上面记载了百胜刀的制造方法,peifang/duanzao/p_baishengdao,33,120
24,duanzao,s_weapon,【卷轴】芒牙匕首,上面记载了芒牙匕首的制造方法,peifang/duanzao/p_mangyabishou,33,120
